section,parent
第一节  释义,
第二节  公司简介和主要财务指标,
第三节  公司业务概要,
第四节  经营情况讨论与分析,
第五节  重要事项,
第六节  普通股股份变动及股东情况,
第七节  优先股相关情况,
第八节  董事、监事、高级管理人员和员工情况,
第九节  公司治理,
第十节  公司债券相关情况,
第十一节 财务报告,
第十二节 备查文件目录,
一、 公司信息,第二节  公司简介和主要财务指标
二、 联系人和联系方式,第二节  公司简介和主要财务指标
三、 基本情况简介,第二节  公司简介和主要财务指标
四、 信息披露及备置地点,第二节  公司简介和主要财务指标
五、 公司股票简况,第二节  公司简介和主要财务指标
六、 其他相关资料,第二节  公司简介和主要财务指标
七、 近三年主要会计数据和财务指标,第二节  公司简介和主要财务指标
八、 境内外会计准则下会计数据差异,第二节  公司简介和主要财务指标
九、 2018 年分季度主要财务数据,第二节  公司简介和主要财务指标
十、 非经常性损益项目和金额,第二节  公司简介和主要财务指标
十一、 采用公允价值计量的项目,第二节  公司简介和主要财务指标
十二、 其他,第二节  公司简介和主要财务指标
一、报告期内公司所从事的主要业务、经营模式及行业情况说明,第三节  公司业务概要
二、报告期内公司主要资产发生重大变化情况的说明,第三节  公司业务概要
三、报告期内核心竞争力分析,第三节  公司业务概要
一、经营情况讨论与分析,第四节  经营情况讨论与分析
二、报告期内主要经营情况,第四节  经营情况讨论与分析
三、公司关于公司未来发展的讨论与分析,第四节  经营情况讨论与分析
(一)   行业格局和趋势,三、公司关于公司未来发展的讨论与分析
(二)     公司发展战略,三、公司关于公司未来发展的讨论与分析
(三)     经营计划,三、公司关于公司未来发展的讨论与分析
(四)    可能面对的风险,三、公司关于公司未来发展的讨论与分析
(五)    其他,三、公司关于公司未来发展的讨论与分析
四、公司因不适用准则规定或国家秘密、商业秘密等特殊原因，未按准则披露的情况和原因说明,第四节  经营情况讨论与分析
一、普通股利润分配或资本公积金转增预案,第五节  重要事项
二、承诺事项履行情况,第五节  重要事项
三、报告期内资金被占用情况及清欠进展情况,第五节  重要事项
四、公司对会计师事务所“非标准意见审计报告”的说明,第五节  重要事项
五、公司对会计政策、会计估计变更或重大会计差错更正原因和影响的分析说明,第五节  重要事项
六、聘任、解聘会计师事务所情况,第五节  重要事项
七、面临暂停上市风险的情况,第五节  重要事项
八、面临终止上市的情况和原因,第五节  重要事项
九、破产重整相关事项,第五节  重要事项
十、重大诉讼、仲裁事项,第五节  重要事项
十一、上市公司及其董事、监事、高级管理人员、控股股东、实际控制人、收购人处罚及整改情,第五节  重要事项
十二、报告期内公司及其控股股东、实际控制人诚信状况的说明,第五节  重要事项
十三、公司股权激励计划、员工持股计划或其他员工激励措施的情况及其影响,第五节  重要事项
十四、重大关联交易,第五节  重要事项
十五、重大合同及其履行情况,第五节  重要事项
十六、其他重大事项的说明,第五节  重要事项
十七、积极履行社会责任的工作情况,第五节  重要事项
十八、可转换公司债券情况,第五节  重要事项
一、 普通股股本变动情况,第六节  普通股股份变动及股东情况
二、 证券发行与上市情况,第六节  普通股股份变动及股东情况
三、 股东和实际控制人情况,第六节  普通股股份变动及股东情况
四、 控股股东及实际控制人情况,第六节  普通股股份变动及股东情况
一、持股变动情况及报酬情况,第八节  董事、监事、高级管理人员和员工情况
二、现任及报告期内离任董事、监事和高级管理人员的任职情况,第八节  董事、监事、高级管理人员和员工情况
三、董事、监事、高级管理人员报酬情况,第八节  董事、监事、高级管理人员和员工情况
四、公司董事、监事、高级管理人员变动情况,第八节  董事、监事、高级管理人员和员工情况
五、近三年受证券监管机构处罚的情况说明,第八节  董事、监事、高级管理人员和员工情况
六、母公司和主要子公司的员工情况,第八节  董事、监事、高级管理人员和员工情况
七、其他,第八节  董事、监事、高级管理人员和员工情况
一、公司治理相关情况说明,第九节  公司治理
二、股东大会情况简介,第九节  公司治理
三、董事履行职责情况,第九节  公司治理
四、董事会下设专门委员会在报告期内履行职责时所提出的重要意见和建议，存在异议事项的，,第九节  公司治理
五、监事会发现公司存在风险的说明,第九节  公司治理
六、公司就其与控股股东在业务、人员、资产、机构、财务等方面存在的不能保证独立性、不能,第九节  公司治理
七、报告期内对高级管理人员的考评机制，以及激励机制的建立、实施情况,第九节  公司治理
八、是否披露内部控制自我评价报告,第九节  公司治理
九、内部控制审计报告的相关情况说明,第九节  公司治理
十、其他,第九节  公司治理
一、公司债券基本情况,第十节  公司债券相关情况
二、公司债券受托管理联系人、联系方式及资信评级机构联系方式,第十节  公司债券相关情况
三、公司债券募集资金使用情况,第十节  公司债券相关情况
四、公司债券评级情况,第十节  公司债券相关情况
五、报告期内公司债券增信机制、偿债计划及其他相关情况,第十节  公司债券相关情况
六、公司债券持有人会议召开情况,第十节  公司债券相关情况
七、公司债券受托管理人履职情况,第十节  公司债券相关情况
八、截至报告期末公司近 2 年的会计数据和财务指标,第十节  公司债券相关情况
九、公司其他债券和债务融资工具的付息兑付情况,第十节  公司债券相关情况
十、公司报告期内的银行授信情况,第十节  公司债券相关情况
十一、公司报告期内执行公司债券募集说明书相关约定或承诺的情况,第十节  公司债券相关情况
十二、公司发生的重大事项及对公司经营情况和偿债能力的影响,第十节  公司债券相关情况
一、审计报告,第十一节 财务报告
二、财务报表,第十一节 财务报告
三、公司基本情况,第十一节 财务报告
四、财务报表的编制基础,第十一节 财务报告
五、重要会计政策及会计估计,第十一节 财务报告
六、税项,第十一节 财务报告
七、合并财务报表项目注释,第十一节 财务报告
八、合并范围的变更,第十一节 财务报告
九、在其他主体中的权益,第十一节 财务报告
十、与金融工具相关的风险,第十一节 财务报告
十一、 公允价值的披露,第十一节 财务报告
十二、 关联方及关联交易,第十一节 财务报告
十三、 股份支付,第十一节 财务报告
十四、 承诺及或有事项,第十一节 财务报告
十五、 资产负债表日后事项,第十一节 财务报告
十六、 其他重要事项,第十一节 财务报告
十七、 母公司财务报表主要项目注释,第十一节 财务报告
十八、 补充资料,第十一节 财务报告
